CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT
C0000,491.29,1.0,51.74,12.85,0.0,74.54,0.020333,0.010516,0.017426,0.11622,3,24,1925.59,417.71,35.5,0.374104
C0001,5000.33,1.0,456.14,193.67,230.55,9.24,0.22419,0.085226,0.194469,0.322783,3,21,14086.98,4202.79,353.51,0.31787
C0002,910.43,1.0,118.04,26.13,0.0,872.2,0.386582,0.080653,0.21148,0.069959,3,13,3132.67,1324.59,178.13,0.704831
C0003,410.68,1.0,6028.06,3497.35,2605.07,2.08,0.158441,0.065621,0.0575,0.230863,6,11,1480.17,4322.2,299.1,0.160354
C0004,102.89,1.0,192.47,86.89,158.96,13.96,0.145489,0.086122,0.079325,0.067054,2,21,278.84,263.61,19.59,0.553333
C0005,3215.7,1.0,148.94,82.49,24.44,1.73,0.390811,0.295169,0.324787,0.049885,1,10,8891.93,3910.09,444.42,0.365841
C0006,2174.56,1.0,1428.79,793.19,231.67,33.53,0.243414,0.169694,0.205638,0.106264,4,21,7165.72,4058.89,240.61,0.292177
C0007,55627.59,1.0,367.96,167.69,349.16,364.04,0.213908,0.06435,0.106502,0.123879,0,10,212100.74,42623.99,3492.42,0.294226
C0008,6458.03,1.0,20.46,11.67,0.0,6.13,0.30029,0.13667,0.256566,0.080798,8,10,22871.32,9065.98,1065.83,0.107881
C0009,1330.47,1.0,113.79,76.3,134.16,170.0,0.507087,0.328114,0.400644,0.03917,0,7,4597.41,1336.1,138.85,0.162384
C0010,2854.59,1.0,35.14,7.17,216.14,3.65,0.615651,0.192873,0.540769,0.033616,5,14,9816.77,2591.05,338.19,0.129893
C0011,8775.86,1.0,1754.32,561.17,1097.77,1151.49,0.584855,0.329322,0.204923,0.241312,3,16,23480.33,10713.69,911.1,0.155179
C0012,1666.34,1.0,26058.41,16987.21,8966.71,218.16,0.150286,0.067203,0.092819,0.024476,4,22,6084.93,15641.68,1161.74,0.659119
C0013,555.1,1.0,285.12,156.96,383.48,106.04,0.118747,0.037334,0.102045,0.104404,1,5,1329.54,792.69,86.13,0.076799
C0014,262.73,1.0,1385.43,670.42,158.95,1206.71,0.285002,0.100359,0.115569,0.078208,5,10,793.33,1328.51,100.3,0.212233
C0015,10179.05,1.0,304.84,144.19,22.07,536.72,0.666111,0.148963,0.222523,0.368778,2,22,18757.81,10609.98,1274.78,0.345079
C0016,11956.16,1.0,390.85,156.58,0.0,90.92,0.54039,0.229287,0.233448,0.436558,1,16,37364.46,13121.83,1222.94,0.144461
C0017,835.0,1.0,2991.15,1493.1,1110.55,901.76,0.326619,0.246192,0.18354,0.184242,4,11,2818.22,3422.16,411.44,0.213589
C0018,2650.51,1.0,61.1,31.41,243.23,3508.55,0.288343,0.152895,0.201134,0.165011,4,19,6697.63,2841.02,251.85,0.216436
C0019,875.63,1.0,76.76,29.38,298.46,185.98,0.508373,0.351034,0.375795,0.026993,1,9,2435.43,933.01,122.52,0.391505
C0020,74210.87,1.0,1228.07,480.21,609.5,1353.62,0.283693,0.120047,0.115412,0.02908,3,17,114305.52,41549.16,2681.73,0.0446
C0021,956.84,1.0,378.69,119.17,413.22,2.63,0.238412,0.070181,0.102489,0.022739,2,19,3598.35,966.38,67.01,0.330038
C0022,3169.71,1.0,757.0,368.86,220.34,14.93,0.352257,0.218104,0.201252,0.078455,3,15,11208.31,2490.77,294.02,0.078831
C0023,8229.22,1.0,2356.93,1071.13,1104.72,1.42,0.568803,0.41189,0.451671,0.324045,4,12,27438.27,7418.84,1098.1,0.518577
C0024,5826.57,1.0,62.39,26.85,177.36,404.78,0.373489,0.246281,0.167498,0.388593,4,12,9728.74,6338.33,625.94,0.333387
C0025,4960.31,1.0,55.27,27.95,0.0,121.9,0.267845,0.159081,0.164791,0.262275,1,18,10149.99,4088.19,343.66,0.228094
C0026,895.44,1.0,34459.39,18086.63,16449.19,254.06,0.461828,0.217234,0.344513,0.160125,3,22,3557.29,23213.23,3129.13,0.416571
C0027,5952.54,1.0,1035.15,414.37,386.73,669.85,0.147045,0.096268,0.084997,0.242287,7,22,15764.57,6265.56,762.63,0.348985
C0028,9052.17,1.0,4471.93,2675.46,1715.41,0.93,0.334731,0.124215,0.194714,0.159986,2,12,33431.09,12021.13,612.57,0.274321
C0029,3860.11,1.0,25312.53,6047.1,19241.03,571.07,0.541951,0.11007,0.23457,0.007161,1,15,12331.86,23152.59,1949.81,0.167618
C0030,201.52,1.0,1615.95,646.69,710.65,344.15,0.320546,0.133335,0.241103,0.04993,2,10,710.41,1376.34,83.47,0.153252
C0031,136.22,1.0,1.7,0.85,15.03,1462.31,0.131806,0.077152,0.040499,0.140598,1,19,412.0,108.11,5.49,0.236486
C0032,2414.21,1.0,4746.13,1304.25,3583.95,95.41,0.081218,0.064856,0.062415,0.016552,3,14,4774.24,2943.39,316.46,0.191175
C0033,227.69,1.0,41.22,12.92,141.28,377.18,0.050685,0.01265,0.040228,0.119195,6,11,634.26,255.68,29.0,0.254963
C0034,1419.29,1.0,1657.26,846.15,743.03,173.59,0.161606,0.073178,0.085053,0.371169,0,15,5112.47,2695.98,318.22,0.14178
C0035,12724.71,1.0,65.22,30.58,0.0,17.56,0.55702,0.385861,0.377773,0.118075,3,11,48041.9,11097.67,603.97,0.334245
C0036,2873.85,1.0,105.33,32.18,45.53,0.02,0.380362,0.271831,0.274421,0.069273,3,13,9388.13,2565.56,341.65,0.213791
C0037,276.65,1.0,2169.0,887.32,1136.0,58.77,0.253069,0.146421,0.195036,0.110788,2,17,879.4,1526.94,112.36,0.23399
C0038,276.16,1.0,581.9,348.3,340.14,233.4,0.192795,0.128858,0.091345,0.07021,5,14,848.73,519.59,50.42,0.31037
C0039,10415.26,1.0,318.63,150.62,313.36,251.86,0.241964,0.091313,0.214419,0.074071,3,16,30385.81,5758.21,476.79,0.153748
C0040,1810.33,1.0,18.72,11.05,155.5,16.88,0.295406,0.229162,0.136095,0.126687,0,12,6743.7,1596.79,206.64,0.433827
C0041,8850.73,1.0,295.1,98.03,664.33,2097.33,0.383594,0.099074,0.246577,0.191456,2,18,30291.52,11784.2,689.65,0.364654
C0042,1574.84,1.0,68115.0,16744.4,51652.56,4160.83,0.065197,0.051714,0.034758,0.229601,1,9,5188.84,33633.32,2932.55,0.476811
C0043,86.04,1.0,3336.85,1158.08,2097.66,38.7,0.257061,0.132211,0.190508,0.273758,1,26,217.31,2258.06,330.16,0.656709
C0044,34023.83,1.0,52.62,12.42,4.29,8015.22,0.203063,0.157838,0.118154,0.040544,4,14,90324.48,32389.9,2934.81,0.408755
C0045,1361.9,1.0,655.78,242.05,376.15,91.29,0.195165,0.047621,0.096173,0.037681,3,23,3525.36,1883.55,125.64,0.442793
C0046,315.85,1.0,282.1,144.51,70.45,3.19,0.407867,0.197508,0.23655,0.185191,5,13,1262.2,379.87,20.2,0.266254
C0047,6542.18,1.0,274.26,98.48,250.0,234.53,0.520281,0.162078,0.181886,0.037044,2,8,24887.05,7594.8,1099.8,0.165305
C0048,10149.19,1.0,23.61,6.88,0.0,18.55,0.096365,0.05108,0.079587,0.089017,5,14,17920.69,9239.66,1064.21,0.466948
C0049,17477.68,1.0,680.13,159.3,821.29,10.24,0.469486,0.359725,0.285888,0.435816,1,14,46803.08,15077.25,1132.33,0.202862
C0050,1076.2,1.0,295.25,115.96,340.68,92.78,0.160804,0.105018,0.104892,0.099989,0,20,2331.05,1171.2,115.77,0.277689
