customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID0000,Male,0,No,No,46,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,106.53,5019.16,No
ID0001,Female,1,No,No,26,Yes,No,DSL,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),44.43,1159.19,No
ID0002,Male,0,No,No,0,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Two year,No,Mailed check,110.18,0.0,Yes
ID0003,Male,0,Yes,No,12,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,47.01,559.93,Yes
ID0004,Male,0,Yes,No,66,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),32.17,1891.55,Yes
ID0005,Female,1,Yes,No,64,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),92.92,5968.62,Yes
ID0006,Male,0,Yes,Yes,57,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,23.38,1239.29,No
ID0007,Male,0,Yes,No,69,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,96.5,6656.78,Yes
ID0008,Male,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.17,5430.73,No
ID0009,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),41.48,450.25,No
ID0010,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,100.01,5404.88,No
ID0011,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,110.53,3837.26,Yes
ID0012,Male,0,No,No,19,Yes,No,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),50.75,914.86,No
ID0013,Male,0,No,Yes,9,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,96.55,890.13,Yes
ID0014,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),28.26,216.68,Yes
ID0015,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,105.26,2926.5,Yes
ID0016,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,One year,Yes,Mailed check,65.0,2805.45,No
ID0017,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),43.15,1294.94,No
ID0018,Female,1,Yes,No,8,Yes,No,DSL,No internet service,No,No,Yes,No,No,One year,Yes,Electronic check,71.15,493.71,Yes
ID0019,Male,0,No,No,3,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,44.12,157.05,Yes
ID0020,Female,1,Yes,No,44,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,No,Bank transfer (automatic),98.42,4341.17,No
ID0021,Male,0,Yes,No,23,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,50.59,944.16,No
ID0022,Female,0,Yes,Yes,71,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.6,1746.41,Yes
ID0023,Female,1,Yes,No,52,Yes,No,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,21.77,1264.47,No
ID0024,Female,0,No,No,39,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.39,1784.58,No
ID0025,Female,0,Yes,No,57,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),71.73,4151.38,No
ID0026,Female,0,No,No,28,No,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,82.07,2395.36,No
ID0027,Female,0,No,Yes,27,Yes,Yes,No,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,69.12,1841.7,Yes
ID0028,Female,0,No,No,47,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.46,4101.31,Yes
ID0029,Female,0,Yes,Yes,51,Yes,No,No,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),86.7,4506.31,Yes
